Install Date,Unit Number,Marina Name,Seabin Address,City,State,Seabin Country,Latitude N/S,Longitude E/W
18/2/2020,1,Tweed Heads Marina,"Tweed Heads NSW 2485, Australia",Tweed Heads,NSW,Australia,-28.178962,153.542232
19/2/2019,1,Australian National Maritime Museum,"Australian National Maritime Museum, 2 Murray St, Sydney NSW 2000",Sydney,NSW,Australia,-33.869222,151.199167
6/3/2020,1,Gold Coast City Marina,"76-84 Waterway Dr, Coomera QLD 4209",Gold Coast,QLD,Australia,-27.862622,153.339017
14/10/2020,1,Manly Yacht Club,"E Esplanade, Manly NSW 2095",Sydney,NSW,Australia,-33.802918,151.285221
6/5/2020,3,Newport Marina,"3 158 Griffith Rd, Scarborough QLD 4020",Scarborough,QLD,Australia,-27.2096,153.094807
6/5/2020,2,Newport Marina,"2 158 Griffith Rd, Scarborough QLD 4020",Scarborough,QLD,Australia,-27.210566,153.093835
,1,Royal Geelong Yacht Club,"Royal Geelong Yacht Club, 25 Eastern Beach Parade, Geelong VIC 3220",Geelong,VIC,Australia,-38.145078,144.366363
9/11/2019,1,Great Sandy Straits Marina,Great Sandy Straits Marina,Hervey Bay,QLD,Australia,-25.293,152.910306
6/5/2020,1,Newport Marina,"1 158 Griffith Rd, Scarborough QLD 4020",Scarborough,QLD,Australia,-27.210506,153.094559
18/11/2020,1,Brunswick Heads Boat Harbour,Brunswick Heads NSW 2483,Brunswick Heads,NSW,Australia,-28.535266,153.544887
1/7/2020,1,D'Albora Marinas Rushcutters,"1 1B New Beach Road, Rushcutters Bay NSW 2027",Sydney,NSW,Australia,-33.873211,151.234175
1/7/2020,2,D'Albora Marinas Rushcutters,"2 1B New Beach Road, Rushcutters Bay NSW 2027",Sydney,NSW,Australia,-33.873093,151.233789
1/5/2019,1,Royal Motor Yacht Club,48 prince alfred parade newport NSW 2106,Sydney,NSW,Australia,-33.65135,151.302703
15/4/2019,1,Royal Prince Alfred,16 mitala st newport nsw 2106,Sydney,NSW,Australia,-33.657032,151.304826
28/3/2019,1,Homeport Marina,2a mccarrs creek rd church point nsw 2105,Sydney,NSW,Australia,-33.645805,151.280537
21/1/2021,1,Gladesville Bridge Marina,"380 Victoria Pl, Drummoyne NSW 2047",Sydney,NSW,Australia,-33.843656,151.146333
21/1/2021,2,Gladesville Bridge Marina,"2 380 Victoria Pl, Drummoyne NSW 2047",Sydney,NSW,Australia,-33.843125,151.145837
