Marina Name ,Unit Number ,Data Collector,Date,Month,Year,Hours in Operation (since last empty),Total weight (g),Terrestrial Biomass (land based) (%),Marine Biomass (water based) (%),Bycatch,Microplastic (Pellets) (#),Foam Pieces (#),Plastic Food Wrappers - Soft (#),Food packaging - Hard (#),Plastic Lids (#),Plastic Straws (#),Plastic Bags (#),Plastic Bottles (#),Plastic Utensils (#),Coffee Cups/Paper Cups (#),Plastic Lollipop/Cotton bud sticks (#),Unidentified Plastic Items - Soft (#),Unidentified Plastic Items - Hard (#),Cigarette butts (#),Fishing gear (#),Fishing Line (#),Microfibers (#),Rope >5mm (#),Cans (#),Tape (#),Rubber,Tennis Ball/ Toy Ball (#),Face masks/ Gloves/ PPE (#),Syringes (#),Other
Ala Wai Boat Harbour,1,Fernando,2/1/2019,January,2019,24,"10,000",NA,NA,,2,0,3,2,1,1,2,0,0,1,0,1,0,2,0,0,0,0,0,,,,,,
Ala Wai Boat Harbour,2,Fernando,2/1/2019,January,2019,24,"7,000",NA,NA,,2,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,
Ala Wai Boat Harbour,1,Fernando,28/8/2020,August,2020,25,"10,000",NA,NA,,10,1,1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,
Ala Wai Boat Harbour,2,Fernando,28/8/2020,August,2020,25,"4,000",NA,NA,,2,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Ala Wai Boat Harbour,1,Fernando,10/9/2020,September,2020,24,"4,000",NA,NA,,0.5,1,3,2,1,1,2,2,0,1,0,1,0,0,0,0,0,0,1,,,,,,
Ala Wai Boat Harbour,2,Fernando,10/9/2020,September,2020,24,"3,500",NA,NA,,1,0,3,2,1,1,2,1,1,1,0,2,0,0,1,0,1,0,0,,,,,,
Ala Wai Boat Harbour,1,Fernando,19/9/2020,September,2020,24,"5,000",NA,NA,,3,2,2,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,,,,,,
Ala Wai Boat Harbour,2,Fernando,19/9/2020,September,2020,24,"1,500",100%,0%,,5,1,4,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,
Ala Wai Boat Harbour,1,Fernando,27/9/2020,September,2020,24,"18,000",NA,NA,,10,1,20,2,1,2,3,1,0,0,0,0,1,1,0,0,1,1,0,,,,,,
Ala Wai Boat Harbour,2,Fernando,27/9/2020,September,2020,24,"8,000",NA,NA,,3,2,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,
